3132,TR09
1325,EE04
12421,BR07
EB89,DO03
EB88,JM04
EB81,FJ03
EB80,BQ06
EB83,BD07
EB82,PK15
EB85,FM01
EB87,GD04
EB86,GD02
1258,NP01
EB67,GD06
EB66,GD05
EB65,AX03
EB62,AX02
EB61,MV07
EB60,CK01
302,TJ01
305,SA03
EB69,LK07
8358,KG02
8357,KG01
MW3,RU03
MW1,RU07
MW7,OM02
MW6,OM03
MW5,OM05
3357,MU02
2979,BR15
SN7,ST03
6607,SD02
ES35,AR07
ES34,GT09
CH13,SX04
5944,DJ01
CH11,FR03
CH16,SX07
CH14,SX05
CH15,SX06
CH18,CW09
5784,SG01
LF55,NL11
ES38,US19
LM29,IL04
LM28,IL03
LM27,IQ04
LM26,IQ03
LM25,ES12
LM24,GT02
LM23,LS02
LM22,LS01
LM21,BW02
LM20,BW04
10920,KE02
MS29,MA05
MS26,PY08
MS27,PY05
MS24,TW04
MS25,PY07
MS22,TW02
MS23,TW03
MS20,TW01
MS21,TW06
17109,OM09
1891,NA02
TN1,ID04
5166,SY04
5167,SY01
2641,US16
17581,CU01
LF11,DE12
LF10,DE18
LF13,DE03
LF12,DE13
LF15,DE04
LF17,DE06
LF16,DE05
LF19,DE08
LF18,DE07
SG11,SG11
1856,BZ07
10458,ZM01
DT56,TW14
BG09,BG10
6967,TL03
DT54,ZW03
MW10,OM04
2919,SL03
713,LB03
MM33,RO20
MM32,RO19
MM31,RO18
MM30,RO17
MM37,RO24
MM36,RO23
7128,BT01
MM34,RO21
6841,US05
7120,RW01
SD06,SD09
5304,AT06
NL24,CC02
NL25,ZM02
NL26,CC33
NL27,CC03
NL21,CC01
1664,BZ08
NL28,CC04
1662,BZ03
1661,BZ01
1660,ML01
592,MT04
596,MA06
138822,AU04
LF197,HU14
5419,TZ01
1402,RU05
1400,RU01
1407,SA01
CJ20,LK09
442,TR07
441,TR06
1336,FI07
446,TR01
445,TR08
18107,CR01
DT08,MT17
DT09,MH11
5771,SG02
DT05,SG13
DT06,MT15
DT07,MT16
18108,CR02
DT02,HK11
DT03,HK12
33,NP03
MW15,SY02
7708,BZ10
MW14,SY05
1247,MD05
1248,MD06
DT1,HK04
EB52,JM03
EB53,JM02
EB50,KI01
EB56,SJ02
EB54,JM01
EB55,MN03
NT1,TG03
EB58,CK04
NT2,BI01
331,PW03
330,SS01
CK11,BG07
CK10,VG02
CK13,KY04
CK12,KY03
CK16,FK01
CK18,BE02
11225,NI01
8346,MM02
7412,SR02
TN501,VN02
mm12,PE05
10841,AZ06
SM3,CZ04
SM1,CX03
LM18,XS02
LM19,MA09
12759,RO25
LM12,SL05
LM13,NA06
LM10,LB02
LM11,SL04
LM16,NA04
LM17,UG01
LM15,NA03
MS39,CK03
AB3,AR01
AB4,LU01
AB7,MK02
MS31,ES04
MS30,ES02
MS33,TN01
MS32,ES05
MS35,DZ07
MS34,DZ06
3708,CH08
1888,NA01
13374,RW02
RM16,LT05
RM17,LT14
RM10,FI06
RM18,LT03
RM19,LT01
2651,US15
132,SB06
130,SB01
10664,PK04
10666,PK08
10667,PK05
2014,IL01
SN102,TZ03
17711,MH01
AB9,TV01
TN00MADAGAS,MG03
7257,BD04
LF244,SI13
LF241,SI11
703,KR03
LF243,SI12
LF242,EE10
17904,UA02
7136,BT02
NL37,AS03
NL36,AS02
NL35,AS01
NL34,CC10
NL33,CC09
NL32,CC08
NL31,CC07
NL30,CC06
NL39,AS05
NL38,AS04
413,AT14
3157,ID02
1439,SY03
1638,FR02
458,DK05
MG48,FI17
HK04,HK07
AZ07,AZ07
1347,ER01
NL152,GR24
DT19,HK16
DT18,HK14
DT17,HK13
DT16,HK15
DT15,SG14
DT14,MH16
DT13,MH15
DT12,MH13
DT11,MH14
DT10,MH12
656,KW08
MG40,IE04
655,KW03
1506,SB04
NL158,GR30
EB47,BB01
117901,AR03
NL119,AU03
NL118,AU06
NL115,JP06
NL114,CZ08
NL117,EG01
NL116,SA02
NL111,CZ15
NL110,CZ06
NL112,CZ10
4000,UA01
12769,SC05
11419,EE02
DT55,ZW04
MW65,AE09
MW62,SD08
MW63,MW05
4675,TH01
MW61,SD07
991,PW04
10724,ES03
3400,WS04
MW68,RU10
126,PG05
MW69,RU11
3378,AR05
1186,LK01
12141,BG05
7389,GY01
2060,UY01
118822,KH02
3426,LT06
ES12,RS10
7684,CZ02
2667,BW03
8961,GT03
NL142,GR14
2669,BW01
MM19,RO07
MM18,RO06
MM11,PE06
MM10,PE03
MM13,PE04
MM17,RO05
MM16,RO04
MG600,FI15
NT707,GA04
579,ZA04
EB117,GL09
