ID,COUNTRY_NAME,ISO3,ISO2,POLICY_TYPE,POLICY_SUBTYPE,START_DATE,END_DATE,AIR,AIR_TYPE,TARGETS_AIR,LAND,LAND_TYPE,TARGETS_LAND,SEA,SEA_TYPE,TARGETS_SEA,CITIZEN,CITIZEN_LIST,HISTORY_BAN,HISTORY_BAN_LIST,REFUGEE,REFUGEE_LIST,VISA_BAN,VISA_BAN_TYPE,VISA_BAN_LIST,CITIZEN_EXCEP,CITIZEN_EXCEP_LIST,COUNTRY_EXCEP,COUNTRY_EXCEP_LIST,WORK_EXCEP,SOURCE_TYPE,INTERNAL_GOVT_SOURCE,AIRLINE_SOURCE,INSURANCE_SOURCE,GOVT_SOCIAL_MED_SOURCE,EXT_GOVT_SOURCE,INTERNAL_MEDIA_SOURCE,EXT_MEDIA_SOURCE,OTHER_SOURCE,END_SOURCE
8818,Czechia,CZE,CZ,PARTIAL,BORDER_CLOSURE,02_03_20,04_21_20,1,Specific,China,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200428173025/https://koronavirus.mzcr.cz/wp-content/uploads/2020/04/Zru%C5%A1en%C3%AD-ochrann%C3%A9ho-opat%C5%99en%C3%AD-ze-dne-3.-2.-2020-k-z%C3%A1kazu-let%C5%AF-z-%C4%8C%C3%ADnsk%C3%A9-lidov%C3%A9-republiky.pdf,,,,,,,,
8858,Yemen,YEM,YE,PARTIAL,BORDER_CLOSURE,04_08_20,NONE,0,NA,NA,1,Specific,Saudi Arabia,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,6,,,,,,https://web.archive.org/web/20210408195128/https://www.aa.com.tr/en/middle-east/yemen-seals-border-with-saudi-arabia-over-virus-fears/1797604,,,
9020,Cyprus,CYP,CY,PARTIAL,BORDER_CLOSURE,04_18_20,06_09_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200501105751/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
9245,Guyana,GUY,GY,PARTIAL,BORDER_CLOSURE,03_18_20,10_12_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,"https://web.archive.org/web/20200530213601/https://dpi.gov.gy/emergency-measures-to-continue-until-june-3rd/   , https://web.archive.org/web/20200530212716/https://dpi.gov.gy/government-covid-19-advisories-4/",,,,,,,,
9373,Philippines,PHL,PH,PARTIAL,BORDER_CLOSURE,05_03_20,05_10_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200523165731/https://www.pna.gov.ph/articles/1101716,,,,,,,,
9614,Nigeria,NGA,NG,PARTIAL,BORDER_CLOSURE,04_22_20,09_05_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200508221417/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,,https://web.archive.org/web/20200905084035/https://twitter.com/NigerianCAA/status/1302164318125993984
10127,Qatar,QAT,QA,PARTIAL,BORDER_CLOSURE,04_01_20,NONE,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,"2,3",,https://web.archive.org/web/20200403210425/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,https://web.archive.org/web/20200403034458/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
10141,Philippines,PHL,PH,PARTIAL,BORDER_CLOSURE,05_09_20,06_10_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200513235304/https://www.pna.gov.ph/articles/1102379,,,,,,,,https://web.archive.org/web/20200513235304/https://www.pna.gov.ph/articles/1102379
10248,Seychelles,SYC,SC,PARTIAL,BORDER_CLOSURE,04_30_20,08_05_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
10458,Zambia,ZMB,ZM,PARTIAL,BORDER_CLOSURE,05_11_20,05_12_20,0,NA,NA,1,Specific,Tanzania,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
